,level_0,artistName,trackName,index
2020,2020,Maria Bethânia,As Canções Que Você Fez Pra Mim,15
2549,2549,Os Barões Da Pisadinha,Recairei - Ao Vivo,15
3196,3196,Spice Girls,Wannabe,14
2453,2453,Nina Simone,Feeling Good,13
3091,3091,Seu Jorge,Life On Mars?,12
2184,2184,Marvin Gaye,Mercy Mercy Me (The Ecology),12
2947,2947,Rufus Wainwright,Hallelujah,12
1040,1040,Erasure,A Little Respect - 2009 - Remaster,12
2775,2775,Queen,Under Pressure - Remastered 2011,11
2030,2030,Maria Bethânia,Fera Ferida,11
