index,endTime,artistName,trackName,msPlayed,ano,mes,dia,tempo,horas,tempoEscutado(h),tempoEscutado(min),nomeDia
0,2021-03-25 13:11:00,Wry,Man in the Mirror - Electropaulo Rmx,68943,2021,3,25,13:11:00,13,0.0192,1.149,Thursday
1,2021-03-25 13:31:00,Vintage Culture,Várias Queixas - Radio Edit,155702,2021,3,25,13:31:00,13,0.0433,2.595,Thursday
2,2021-03-25 13:34:00,Cypress Hill,Champion Sound,183560,2021,3,25,13:34:00,13,0.051,3.0593,Thursday
3,2021-03-25 13:35:00,Rita Benneditto,Com o Afeto das Canções,92897,2021,3,25,13:35:00,13,0.0258,1.5483,Thursday
4,2021-03-25 13:35:00,Rodrigo Sha,Do Guarani Ao Guaraná,8340,2021,3,25,13:35:00,13,0.0023,0.139,Thursday
5,2021-03-25 13:36:00,Cypress Hill,Champion Sound,43820,2021,3,25,13:36:00,13,0.0122,0.7303,Thursday
6,2021-03-25 13:37:00,David Bowie,"Strangers When We Meet - Live at the National Exhibition Centre, Birmingham, 13th December, 1995",55450,2021,3,25,13:37:00,13,0.0154,0.9242,Thursday
7,2021-03-25 13:40:00,Alceu Valença,Sem Pensar No Amanhã,156250,2021,3,25,13:40:00,13,0.0434,2.6042,Thursday
8,2021-03-25 13:42:00,Pato Fu,Made In Japan / Capetão 66.6 FM (Ao Vivo),123949,2021,3,25,13:42:00,13,0.0344,2.0658,Thursday
9,2021-03-25 13:50:00,Erasure,Ave Maria,484708,2021,3,25,13:50:00,13,0.1346,8.0785,Thursday
10,2021-03-25 13:51:00,Erasure,Ave Maria,14150,2021,3,25,13:51:00,13,0.0039,0.2358,Thursday
11,2021-03-25 13:51:00,Bakers,Fantasy,35751,2021,3,25,13:51:00,13,0.0099,0.5958,Thursday
12,2021-03-25 15:47:00,Erasure,Solsbury Hill - 2009 Remastered Version,168340,2021,3,25,15:47:00,15,0.0468,2.8057,Thursday
13,2021-03-25 15:51:00,Queen,Under Pressure - Remastered 2011,248440,2021,3,25,15:51:00,15,0.069,4.1407,Thursday
14,2021-03-25 15:54:00,Elton John,I'm Still Standing,183439,2021,3,25,15:54:00,15,0.051,3.0573,Thursday
15,2021-03-25 15:55:00,U2,I Still Haven't Found What I'm Looking For,25169,2021,3,25,15:55:00,15,0.007,0.4195,Thursday
